TID,INDHOLD
1966,87.17026678552101
1967,100.725915583554
1968,104.86260019550299
1969,107.94169124877101
1970,140.599710415108
1971,161.07329525816002
1972,157.263858730079
1973,152.45250477712602
1974,175.818612332025
1975,197.094357150024
1976,201.62335516033102
1977,195.68673543109
1978,229.03104909522298
1979,250.673333097441
1980,280.156487315049
1981,278.492619019804
1982,281.36556993710803
1983,262.841890999418
1984,254.300362022149
1985,270.654343662176
1986,306.215633612786
1987,399.88757265364
1988,403.04827784915403
1989,406.908744427109
1990,401.708749050216
1991,399.46154050948803
1992,418.271986755504
1993,488.461223006811
1994,471.84139158201003
1995,743.7683973275491
1996,577.731701288502
1997,666.692057663903
1998,677.690684298942
1999,816.619175963584
2000,691.264887737563
2001,946.666286846735
2002,1004.4592384880499
2003,1066.79637539205
2004,1013.6079435134001
2005,892.02060002357
2006,891.767747086711
2007,911.139037437386
2008,974.04557215225
2009,1374.2942796238501
2010,1474.48111425743
2011,924.9337371206971
2012,966.631249882315
2013,1029.2699814372
2014,1067.60803885664
2015,1103.0579227006401
2016,1146.2562493058401
2017,1152.6571480821399
2018,1158.89159219204
2019,1166.36588886769
2020,1171.72272282664
2021,1167.1659112422756
2022,1171.7202029921323
