TID,Xt
1982,341929.0263510002
1983,340285.54863600014
1984,342435.30354000017
1985,340760.66428800026
1986,339577.8297120002
1987,337332.5040690002
1988,335061.8841240001
1989,333134.1714690001
1990,335220.0387030001
1991,333471.0811410001
1992,332267.3852850001
1993,303379.4670390001
1994,298275.3637380001
1995,300079.34292600007
1996,304116.0006060001
1997,309400.684362
1998,309535.7611500001
1999,300074.51875500014
2000,298499.2313490001
2001,299882.20383000013
2002,297695.68092000013
2003,296422.88207400014
2004,296724.3275700001
2005,304923.592908
2006,307094.600241
2007,301984.760088
2008,314796.845583
2009,312195.18320100004
2010,314457.84978300007
2011,316600.69438800006
2012,315481.095567
2013,313713.754002
2014,317824.99075799994
2015,306612.704673
2016,308425.810671
2017,307618.609518
2018,305541.999477
2019,305391.27672900003
2020,301948.122465
2021,300799.578618
2022,298554.252975
2023,290344.03546499996
2024,285270.31140299997
2025,
