ANVENDELSE,TID,gamma
100010,1966,0.20130448757939304
100010,1967,0.1895122058128187
100010,1968,0.19565358456707976
100010,1969,0.19455557957532701
100010,1970,0.21093011900410355
100010,1971,0.22462418992627683
100010,1972,0.2305476088865193
100010,1973,0.23238369280122367
100010,1974,0.23697491722164704
100010,1975,0.2355186810756224
100010,1976,0.2292180330823622
100010,1977,0.24352418480497448
100010,1978,0.2470154260406877
100010,1979,0.2810854522670274
100010,1980,0.2858312411862035
100010,1981,0.299282053744676
100010,1982,0.284065532943105
100010,1983,0.2521493534341867
100010,1984,0.25332314707878245
100010,1985,0.27547865226646817
100010,1986,0.28543639271917537
100010,1987,0.28481419883847037
100010,1988,0.2815489590711019
100010,1989,0.2722279797311996
100010,1990,0.2773263863334966
100010,1991,0.26316205692011607
100010,1992,0.2806597543263263
100010,1993,0.2868149680737769
100010,1994,0.31002061993244345
100010,1995,0.2689858179757808
100010,1996,0.2736667052903652
100010,1997,0.2699480141717435
100010,1998,0.2870990918039278
100010,1999,0.2839194740162846
100010,2000,0.26834339653739075
100010,2001,0.27837999811989833
100010,2002,0.2671151492849642
100010,2003,0.284136196505433
100010,2004,0.27336115693321317
100010,2005,0.25159604796081114
100010,2006,0.2569015705490141
100010,2007,0.2565440137274356
100010,2008,0.2619232242146612
100010,2009,0.26629077791904093
100010,2010,0.2640971311483151
100010,2011,0.2530898594671433
100010,2012,0.26362057569724595
100010,2013,0.2549145071808031
100010,2014,0.24859524635438912
100010,2015,0.24937998895635027
100010,2016,0.24704549366606215
100010,2017,0.23516467818853504
100010,2018,0.2579505710659829
100010,2019,0.2580529699511115
100010,2020,0.27538672866423686
100010,2021,0.2676156018596181
100010,2022,0.2637104856436011
100030,1966,0.13395624833049882
100030,1967,0.13509809913717913
100030,1968,0.14389112961052763
100030,1969,0.13764820632664126
100030,1970,0.12446316188394224
100030,1971,0.13100869687387523
100030,1972,0.11351162247070767
100030,1973,0.12031759294068248
100030,1974,0.11644947477372693
100030,1975,0.12824959502138913
100030,1976,0.1207756711526185
100030,1977,0.12705860849987755
100030,1978,0.13799393858989029
100030,1979,0.13748550021797878
100030,1980,0.13747791706495363
100030,1981,0.13291377396179654
100030,1982,0.1308565682086127
100030,1983,0.1292068412460332
100030,1984,0.12285454638602811
100030,1985,0.12104574497776738
100030,1986,0.10830696563828757
100030,1987,0.11025479658451824
100030,1988,0.11886620862427699
100030,1989,0.11900396360062167
100030,1990,0.12417995978667287
100030,1991,0.12213945373634405
100030,1992,0.12897459284041735
100030,1993,0.13215620431377806
100030,1994,0.12077214102818706
100030,1995,0.1304073824457449
100030,1996,0.12774050980775628
100030,1997,0.12768563095548785
100030,1998,0.12391523531467749
100030,1999,0.12823311236402324
100030,2000,0.15089082319336664
100030,2001,0.139788395113626
100030,2002,0.14477391675530876
100030,2003,0.1493375714112617
100030,2004,0.15199283979842493
100030,2005,0.15239409977989252
100030,2006,0.14213675563188932
100030,2007,0.14134278677609324
100030,2008,0.14858371107119253
100030,2009,0.14902375410122687
100030,2010,0.1617382828222116
100030,2011,0.16409353697470241
100030,2012,0.18467623550445697
100030,2013,0.1456881092453015
100030,2014,0.1574737700041641
100030,2015,0.19392762782519624
100030,2016,0.1905589242434822
100030,2017,0.1774869085647397
100030,2018,0.15382235881223008
100030,2019,0.18451697245525733
100030,2020,0.16434213053683983
100030,2021,0.18104412550783433
100030,2022,0.1766606760973364
100040x100050,1966,0.38920264135718696
100040x100050,1967,0.3961697942499267
100040x100050,1968,0.380611240549663
100040x100050,1969,0.3892476919096565
100040x100050,1970,0.38961907449514877
100040x100050,1971,0.3706997725072288
100040x100050,1972,0.3632816256544029
100040x100050,1973,0.3553091523816787
100040x100050,1974,0.37167715693363823
100040x100050,1975,0.3539811362441962
100040x100050,1976,0.3603648123411486
100040x100050,1977,0.35492129633838515
100040x100050,1978,0.3480790821731985
100040x100050,1979,0.3227477580894369
100040x100050,1980,0.31979784704849495
100040x100050,1981,0.31672782300203073
100040x100050,1982,0.3362280028966846
100040x100050,1983,0.3623764763951749
100040x100050,1984,0.3734543973067035
100040x100050,1985,0.35516711342381857
100040x100050,1986,0.36032809409353905
100040x100050,1987,0.360695036537373
100040x100050,1988,0.3703773460350654
100040x100050,1989,0.38708431218420997
100040x100050,1990,0.3876680577941731
100040x100050,1991,0.3889480856922597
100040x100050,1992,0.37174529055277616
100040x100050,1993,0.38149157473737516
100040x100050,1994,0.3743867055335951
100040x100050,1995,0.37739277870250115
100040x100050,1996,0.3837905116495727
100040x100050,1997,0.37535681434121154
100040x100050,1998,0.37454582720997553
100040x100050,1999,0.370523344563785
100040x100050,2000,0.37415872131392924
100040x100050,2001,0.3796455306409846
100040x100050,2002,0.3887462457409919
100040x100050,2003,0.3620343135262621
100040x100050,2004,0.376226763610273
100040x100050,2005,0.3794859631107529
100040x100050,2006,0.38589273878437347
100040x100050,2007,0.39351725061623666
100040x100050,2008,0.40853573513034375
100040x100050,2009,0.38606737141984876
100040x100050,2010,0.3829554329740439
100040x100050,2011,0.40081653611038104
100040x100050,2012,0.3705551677654525
100040x100050,2013,0.42331528102758986
100040x100050,2014,0.40873628490370784
100040x100050,2015,0.37704438431008475
100040x100050,2016,0.4064179299472864
100040x100050,2017,0.4228732082917894
100040x100050,2018,0.4217410161207846
100040x100050,2019,0.4026480138398945
100040x100050,2020,0.3996132113173367
100040x100050,2021,0.4001863355980013
100040x100050,2022,0.39373873688887884
